digilab,blc02,COMPUTE,,,,,10.11.0.153
digilab,blc02,GPU,TITAN,Xp,12196 MiB,28541991477, 
digilab,blc02,Disk,TOSHIBA,HDWE150,5.00 TB,85M8K4EEF57D, 
digilab,blc02,Disk,TOSHIBA,HDWE150,5.00 TB,85A5K2T6F57D, 
digilab,blc02,Disk,TOSHIBA,HDWE150,5.00 TB,859BK1OQF57D, 
digilab,blc02,Disk,TOSHIBA,HDWE150,5.00 TB,85H7K659F57D, 
digilab,blc02,Disk,TOSHIBA,HDWE150,5.00 TB,85K3KBZRF57D, 
digilab,blc02,Disk,TOSHIBA,HDWE150,5.00 TB,8586KAWWF57D, 
digilab,blc02,Disk,TOSHIBA,HDWE150,5.00 TB,85MAK4QSF57D, 
digilab,blc02,Disk,TOSHIBA,HDWE150,5.00 TB,85J3KBW5F57D, 
digilab,blc02,Disk,TOSHIBA,HDWE150,5.00 TB,8593KBGIF57D, 
digilab,blc02,Disk,TOSHIBA,HDWE150,5.00 TB,859AK43TF57D, 
digilab,blc02,Disk,TOSHIBA,HDWE150,5.00 TB,85J2KD6DF57D, 
digilab,blc02,Disk,TOSHIBA,HDWE150,5.00 TB,85I3KBVRF57D, 
digilab,blc02,Disk,TOSHIBA,HDWE150,5.00 TB,85L8K48MF57D, 
digilab,blc02,Disk,TOSHIBA,HDWE150,5.00 TB,85A8K3TSF57D, 
digilab,blc02,Disk,TOSHIBA,HDWE150,5.00 TB,85J2KD4TF57D, 
digilab,blc02,Disk,TOSHIBA,HDWE150,5.00 TB,8599K4YYF57D, 
digilab,blc02,Disk,TOSHIBA,HDWE150,5.00 TB,85MAK4QRF57D, 
digilab,blc02,Disk,TOSHIBA,HDWE150,5.00 TB,85J2KD6IF57D, 
digilab,blc02,Disk,TOSHIBA,HDWE150,5.00 TB,85KHK7UXF57D, 
digilab,blc02,Disk,TOSHIBA,HDWE150,5.00 TB,85A4K6J0F57D, 
digilab,blc02,Disk,TOSHIBA,HDWE150,5.00 TB,85J6KB9FF57D, 
digilab,blc02,Disk,TOSHIBA,HDWE150,5.00 TB,85A2KCHJF57D, 
digilab,blc02,Disk,TOSHIBA,HDWE150,5.00 TB,85KIK1FLF57D, 
digilab,blc02,Disk,TOSHIBA,HDWE150,5.00 TB,757DK8A9F57D, 
digilab,blc02,Memory, , ,377.8MB, , 
digilab,blc00,COMPUTE,,,,,10.11.0.153
digilab,blc00,GPU,GeForce,GTX,8119 MiB,['Not Supported'], 
digilab,blc00,Disk,TOSHIBA,HDWE150,5.00 TB,85J1K5BPF57D, 
digilab,blc00,Disk,TOSHIBA,HDWE150,5.00 TB,85J5K320F57D, 
digilab,blc00,Disk,TOSHIBA,HDWE150,5.00 TB,85KGK6YQF57D, 
digilab,blc00,Disk,TOSHIBA,HDWE150,5.00 TB,85M8K4D0F57D, 
